link,handle,isin,cusip,figi,ticker,name,issuer_name,issuer_type,issuer_jurisdiction,fund,framework_link,issuance_date,maturity_date,volume_usd,volume_bond_currency,bond_currency
https://www.greenbondtransparency.com/bond-info/?handle=f5ae13b56104475c94e09bc5a1fbbcd7,f5ae13b56104475c94e09bc5a1fbbcd7,BRSMTODBS021,NA,NA,SMTO24,4ª Emissão de Debêntures - 2ª Série - São Martinho,São Martinho,Non-Financial Corporate,Brazil,FALSE,NA,2022-02-22T00:00:00Z,2037-01-15T00:00:00Z,100163388,492884000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=e966bfa760da47229e612d1814fcd544,e966bfa760da47229e612d1814fcd544,BRRSANDBS055,NA,BBG00ZR6WHP9,NA,Título Sustentável Rio Grande do Sul 2,COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN,Non-Financial Corporate,Brazil,FALSE,NA,2021-02-15T00:00:00Z,2031-02-15T00:00:00Z,62350602,335000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=8e6d700046f54858af9428fd50d0f6ee,8e6d700046f54858af9428fd50d0f6ee,NA,NA,NA,BTGP Green,Green Financial Instruments,BTG Pactual,Financial Corporate,Brazil,TRUE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=4fe1e360ebb54d2881c324702c05ca4c,NA,2026-01-11T00:00:00Z,NA,NA,USD
https://www.greenbondtransparency.com/bond-info/?handle=a51f0a51fdd241f0b87f87edf3924a15,a51f0a51fdd241f0b87f87edf3924a15,BRTAEEDBS0H3,NA,BBG00QPSKY60,NA,Sétima Emissão de Debêntures da Taesa,TAESA,Non-Financial Corporate,Brazil,FALSE,NA,2019-10-25T00:00:00Z,2044-09-15T00:00:00Z,118751087,508960000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=e0a694559f4542f5b1dc0222a650b513,e0a694559f4542f5b1dc0222a650b513,CH1151526238,NA,BBG014LKGKD6,CAF0.45 02/24/2,CHF GREEN BOND BENCHMARK (2nd),CAF - Banco de Desarrollo de America Latina,Development Bank,Supranational,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=20ab6a5a7a89447fa8ffc6208696d342,2022-02-24T00:00:00Z,2027-02-24T00:00:00Z,382096069,350000000,CHF
https://www.greenbondtransparency.com/bond-info/?handle=1dfdf670db17445598adbebb3b4e26a0,1dfdf670db17445598adbebb3b4e26a0,US30315XAB01,NA,NA,NA,1st Green Bond FS,FS Agribusiness,Non-Financial Corporate,Brazil,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=06916bad6f3d4631a2127d3f46ff766d,2020-02-12T00:00:00Z,2025-12-15T00:00:00Z,680000000,680000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=e1a151fc549946899135468e9f745cc9,e1a151fc549946899135468e9f745cc9,ARYPFE5600G5,NA,BBG0154MTNZ4,YPFLUZ 5,YPF Luz Series X Bond,YPF Luz,Non-Financial Corporate,Argentina,FALSE,NA,2022-02-03T00:00:00Z,2032-02-03T00:00:00Z,63900000,63900000,USD
https://www.greenbondtransparency.com/bond-info/?handle=1fbdb1696ffd4349bd5b0b17c8a00bea,1fbdb1696ffd4349bd5b0b17c8a00bea,BRSMTODBS013,NA,NA,SMTO14,4ª Emissão de Debêntures - 1ª Série - São Martinho,São Martinho,Non-Financial Corporate,Brazil,FALSE,NA,2022-03-22T00:00:00Z,2032-01-15T00:00:00Z,122988538,605202000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=939ba0f096214b298b1b949ef2ad6ad7,939ba0f096214b298b1b949ef2ad6ad7,CRA0200018J,NA,NA,NA,CRA Coopan,Grupo Gaia,Financial Corporate,Brazil,FALSE,NA,2020-05-11T00:00:00Z,2026-05-13T00:00:00Z,255972,1500000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=7712ce3dfc304af3ac7783ebab8baa3b,7712ce3dfc304af3ac7783ebab8baa3b,BRGAIACRA0G3,NA,NA,NA,CRA Gaia,FS Agribusiness,Non-Financial Corporate,Brazil,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=56debb04f16d471a921ea472390c8779,2020-02-12T00:00:00Z,2023-02-22T00:00:00Z,48486602,210267000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=885f7ef8568f4ecc8fb398961cb01fd4,885f7ef8568f4ecc8fb398961cb01fd4,PAL3009913B0,NA,BBG00QFWTF19,NA,CIFI Serie B,Corporación Interamericana para el Financiamiento de Infraestructura (CIFI),Financial Corporate,Panama,FALSE,NA,2019-09-24T00:00:00Z,2024-09-30T00:00:00Z,12000000,12000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=857a2aaaa36240d4ac4b2f568bca4a42,857a2aaaa36240d4ac4b2f568bca4a42,NA,NA,NA,WREL#1,Williams Renewable Energy Limited,Williams Caribbean Capital,Non-Financial Corporate,Barbados,TRUE,NA,NA,NA,NA,NA,BBD
https://www.greenbondtransparency.com/bond-info/?handle=7c95589261774817a0ed576d49102d56,7c95589261774817a0ed576d49102d56,BROMGEDBS044,NA,NA,OMGE12,OMGE12,Omega Energia,Non-Financial Corporate,Brazil,FALSE,NA,2020-09-15T00:00:00Z,2028-09-15T00:00:00Z,20861782,110000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=69a374327ec74ed980c676a9cc7a693a,69a374327ec74ed980c676a9cc7a693a,BRSAQIDBS008,NA,BBG00Q6C9BH7,NA,Sabará Green Bond,Sabará Químicos e Ingredientes S.A.,Non-Financial Corporate,Brazil,FALSE,NA,2019-08-05T00:00:00Z,2024-08-05T00:00:00Z,4895000,20000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=1ea3f91d3e7047c6af38408cf446eaae,1ea3f91d3e7047c6af38408cf446eaae,BRITMGDBS028,NA,BBG00GY1HY29,ITGE13,Green Bond Rio Energy Itarema Wind Complex,Rio Energy Participações,Non-Financial Corporate,Brazil,FALSE,NA,2017-05-02T00:00:00Z,2028-12-15T00:00:00Z,35235512,111760000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=dd4e23cc5ace413b987d8d6702f2615e,dd4e23cc5ace413b987d8d6702f2615e,NA,NA,NA,WREL#1_A,WREL#1 Note A,Williams Caribbean Capital,Non-Financial Corporate,Barbados,FALSE,NA,2020-06-30T00:00:00Z,2022-06-30T00:00:00Z,2000000,4000000,BBD
https://www.greenbondtransparency.com/bond-info/?handle=3a4f6ab306c64e85af7f7d44d4610e2b,3a4f6ab306c64e85af7f7d44d4610e2b,PAL3009913E4,NA,NA,NA,CIFI Serie E,Corporación Interamericana para el Financiamiento de Infraestructura (CIFI),Financial Corporate,Panama,FALSE,NA,2019-12-18T00:00:00Z,2024-12-26T00:00:00Z,7000000,7000000,USD
