bond_handle,bond_name,nomenclature,category,subcategory,project,location,date_allocation,date_disbursement,allocation_currency,allocated_allocation_currency,disbursed_allocation_currency,bond_currency,disbursed_bond_currency,disbursed_usd,refinancing,cofinancing_percentage
2d02a140e1674840929801f32b91dbf3,Suzano CRA Verde 2016,ICMA Green Bonds Principles Project Categories,Environmental management,Forestry,Sustainable forestry (Social and environmental),Brazil,2017-12-01T00:00:00Z,2017-12-01T00:00:00Z,BRL,297483000,297483000,BRL,297483000,116733969,TRUE,1
2d02a140e1674840929801f32b91dbf3,Suzano CRA Verde 2016,ICMA Green Bonds Principles Project Categories,Environmental management,Forestry,Sustainable forestry (Social and environmental),Brazil,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,BRL,333434000,333434000,BRL,333434000,97893664,TRUE,1
2d02a140e1674840929801f32b91dbf3,Suzano CRA Verde 2016,ICMA Green Bonds Principles Project Categories,Environmental management,Forestry,Sustainable forestry (Social and environmental),Brazil,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,BRL,356583000,356583000,BRL,356583000,108661455,TRUE,1
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Tibagi S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2021-02-28T00:00:00Z,BRL,81853158,81853158,BRL,81853158,14453148,FALSE,0.61
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Tibagi S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2021-02-28T00:00:00Z,BRL,81853158,81853158,BRL,81853158,14453148,FALSE,0.61
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Aguapeí S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,1570269,1570269,BRL,1570269,302201,FALSE,0.01
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Aguapeí S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,1570269,1570269,BRL,1570269,302201,FALSE,0.01
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Aimorés S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,12021913,12021913,BRL,12021913,2313642,FALSE,0.04
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Aimorés S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,12021913,12021913,BRL,12021913,2313642,FALSE,0.04
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Paraguaçu S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,17916338,17916338,BRL,17916338,3448036,FALSE,0.04
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Paraguaçu S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,17916338,17916338,BRL,17916338,3448036,FALSE,0.04
