bond_handle,bond_name,market,stock_exchange,tranche_currency,volume_offered_tranche_currency,volume_raised_tranche_currency,bond_currency,volume_raised_bond_currency,volume_raised_usd
22fbd3d08bab4319a6ba0483c84d2380,Athon Geração Distribuída Green Bond,Brazil,NA,BRL,40150000,40150000,BRL,40150000,7532830
a86346b545214fce9c82bd25f5b032ed,First Climate Bond Issuance of Aliança Energia S.A.,Brazil,BVMF,BRL,220000000,220000000,BRL,220000000,41926324
9bd98e9cc0fd42a69775ddbd0c63147a,Terceira Emissão De Debêntures Simples Da Eren Dracena Participações S.A.,Brazil,BVMF,BRL,215000000,215000000,BRL,215000000,50027922
9bd98e9cc0fd42a69775ddbd0c63147a,Terceira Emissão De Debêntures Simples Da Eren Dracena Participações S.A.,Brazil,BVMF,BRL,65000000,65000000,BRL,65000000,15124720
e0a694559f4542f5b1dc0222a650b513,CHF GREEN BOND BENCHMARK (2nd),Switzerland,XSWX,CHF,350000000,350000000,CHF,350000000,382096069
26841b3a429e412a9322c0fc4089babb,Tramo 14 Serie A9,Colombia,XBOG,COP,160000000000,160000000000,COP,160000000000,42602933
d504aa002bf5487f8fc01a2b94b3a137,Tramo 14 Serie G20,Colombia,XBOG,COP,139997669786,139997669786,COP,139997669786,37276946
a140093146e2423aae9bab50d3386544,Local Green Bond - Series XXXV,Argentina,XMEV,USD,17300000,17300000,USD,17300000,17300000
db0aed66fef140e2bec6644ac909c86c,Local Green Bond - Series XXXVI,Argentina,XMEV,USD,50000000,50000000,USD,50000000,50000000
f21e0d60edce484e9ebf4c459d4e16a3,COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL,Brazil,NA,BRL,185000000,185000000,BRL,185000000,35191173
ff0274d7d0c14d4abbc9bfd497c65e5f,BONOS G-3 V,Costa Rica,XBNV,CRC,14443000000,14443000000,CRC,14443000000,22444096
519f17ca40d44fbba816416b0e9f3cb1,"Uridashi ""Best Effort"" Green Bond",Japan,NA,ZAR,1032000000,1032000000,ZAR,1032000000,72865918
c8b591f6ccb14f81b80ec4b4bb81e572,First Swiss Green Bond,Switzerland,XLUX,CHF,220000000,220000000,CHF,220000000,237068965
270dc78108554e578876030bd2496dde,CRA ComBio Green Bond 2028,Brazil,NA,BRL,150000000,150000000,BRL,150000000,26572188
ddc074cc122446bc92e5b6929179d0e2,Rumo 2028,Luxembourg,XLUX,USD,500000000,500000000,USD,500000000,500000000
f1d6d989d8ea4e09b00dcd41200c9e35,ISA CTEEP - 11ª Emissão (1ª e 2ª Serie),Brazil,BVMF,BRL,950000000,950000000,BRL,950000000,182800000
25af7f0c068d403b829146d02fd9ec6a,Pampa Energía - ON Clase 8,Argentina,NA,ARS,3107268000,3107268000,ARS,3107268000,30000000
7712ce3dfc304af3ac7783ebab8baa3b,CRA Gaia,Brazil,NA,BRL,210267000,210267000,BRL,210267000,48486602
13db022e186047ecbb817d21fa259364,GCDMXCB 18V,Mexico,XMEX,MXN,1100000000,1100000000,MXN,1100000000,54449245
e409442424864da7afa12f94bb6ac8de,Inversiones Latin America Power 144A Note,United States,XSES,USD,153670000,153670000,USD,153670000,153670000
5bbc61b2d8164da5bb796c580b1305b9,Inversiones Latin America Power RegS Note,United States,XSES,USD,250230000,250230000,USD,250230000,250230000
1fbdb1696ffd4349bd5b0b17c8a00bea,4ª Emissão de Debêntures - 1ª Série - São Martinho,Brazil,BVMF,BRL,605202000,605202000,BRL,605202000,122988538
f5ae13b56104475c94e09bc5a1fbbcd7,4ª Emissão de Debêntures - 2ª Série - São Martinho,Brazil,BVMF,BRL,492884000,492884000,BRL,492884000,100163388
b801a9916932412fb579bb166dbdcdbe,3ª Emissão de Debêntures - Série Única - São Martinho,Brazil,BVMF,BRL,500000000,500000000,BRL,500000000,99956019
a70a185c981f45a483e6d1f133ccf7d2,FEFA 20V,Mexico,BIVA,MXN,3000000000,3000000000,MXN,3000000000,130548303
e1a151fc549946899135468e9f745cc9,YPF Luz Series X Bond,Argentina,XMEV,USD,63900000,63900000,USD,63900000,63900000
9b121b328ec94eefabc6253b9a7bc1bd,Luz de Tres Picos - Clase 1,Argentina,XBUE,USD,30000000,30000000,USD,30000000,30000000
1dfdf670db17445598adbebb3b4e26a0,1st Green Bond FS,Brazil,NA,USD,550000000,550000000,USD,550000000,550000000
1dfdf670db17445598adbebb3b4e26a0,1st Green Bond FS,Brazil,NA,USD,50000000,50000000,USD,50000000,50000000
1dfdf670db17445598adbebb3b4e26a0,1st Green Bond FS,Brazil,NA,USD,80000000,80000000,USD,80000000,80000000
8646617898db47f5bd5c5b2049986b06,CRA Eucalipto,Brazil,NA,BRL,64000000,64000000,BRL,64000000,11537768
fe0a421accf44c3d96fa8f387676d503,CRA Eucalipto 2,Brazil,NA,BRL,16000000,16000000,BRL,16000000,2884442
bf96a41e500b4f00b41161bfbded8061,CRI Credit Suisse,Brazil,NA,BRL,138507000,138507000,BRL,138507000,25992643
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Colombia,NA,COP,433000000000,433000000000,COP,433000000000,150000000
070039e58a2142adbcc6777258457e5e,ZUAMAR S.A - BONO VERDE ON SERIE I,Argentina,XMEV,ARS,115000000,115000000,ARS,115000000,1127672
cfd7ae09c92d481ba80c9caf94bf5d8d,Natelu Yarnel Solar Uruguay Trust,Uruguay,NA,USD,25264000,25264000,USD,25264000,25264000
8d5678c837d04ad1b519d55593035eaa,ERGON PERÚ - BONO VERDE,Peru,NA,USD,219270538,219270538,USD,219270538,219270538
28819e812f754cc7a6258219e8918c4e,Bancomext Senior Notes 22x,Mexico,NA,MXN,3000000000,3000000000,MXN,3000000000,149109073
a4421d17dd0646b391003e3bb6642131,Bancomext Senior Notes 22 2x,Mexico,NA,MXN,3000000000,3000000000,MXN,3000000000,149109073
1ebb3382d810474480d9b51700c98bf5,Bancomext Senior Notes 21 2x,Mexico,NA,MXN,1000000000,1000000000,MXN,1000000000,49199281
9c8ab892f54b40c8817e29c75c9c5029,Bancomext Senior Notes 21 3x,Mexico,NA,MXN,6000000000,6000000000,MXN,6000000000,295195690
a30df90865b844a591bb6fbd89b25a31,BCI - CHF 2027,Switzerland,XSWX,CHF,200000000,200000000,CHF,200000000,218000000
10f66d4ac1cc40dcb68e1b9385431c90,BANCOMEXT Sustainable Tier2 10NC5,United States,NA,USD,500000000,500000000,USD,500000000,500000000
b9e53c01ef12400ea7f0a9fcfb8945de,Bancomext Senior Notes 22 3x,Mexico,NA,MXN,4000000000,4000000000,MXN,4000000000,198812097
0ed1b474d025484781d9dddf7b4e395a,Bancomext Senior Notes 21x,Mexico,NA,MXN,3000000000,3000000000,MXN,3000000000,147597845
874808e162394384acb97cc13c29e805,BCI - USD 2029,United Kingdom,XLUX,USD,54000000,54000000,USD,54000000,54000000
79998baaa2e74bf0aa47e9d7521dd092,BCI - JPY 2027,Japan,NA,JPY,5000000000,5000000000,JPY,5000000000,44000000
ac18a46cd99149a4aad8929bb8729af1,ISA Interchile Bono verde,Singapore,XSES,USD,1200000000,1200000000,USD,1200000000,1200000000
e9262b027b574458921d2b6cbacdfd08,LF serie 1,Brazil,NA,BRL,83150000,83150000,BRL,83150000,16530815
